,employee_number,attrition,job_level,job_role,department,monthly_income,salary,percent_salary_hike,training_times_last_year,stock_option_level,hourly_rate,daily_rate,monthly_rate,standard_hours,overtime,business_travel,distance_from_home,remote_work,environment_satisfaction,job_involvement,job_satisfaction,performance_rating,relationship_satisfaction,work_life_balance,date_birth,age,gender,marital_status,education,education_field,num_companies_worked,total_working_years,years_at_company,years_since_last_promotion,years_with_curr_manager
0,1,No,5,research director,research & development,16280.83,195370.0,13,5,0,251.965,2015.72,42330.17,Full Time,No,non-travel,6,Yes,1,3,3,3.0,3,3.0,1972,53,M,nan,3,other,7,,20,15,15
1,2,No,5,manager,general,16665.83,199990.0,14,5,1,257.92375,2063.39,43331.17,Full Time,,non-travel,1,Yes,3,2,3,3.0,1,3.0,1971,54,M,nan,4,life sciences,0,34.0,33,11,9
2,3,No,5,manager,research & development,16026.67,192320.0,11,3,0,248.03125,1984.25,41669.33,Full Time,No,travel_rarely,4,Yes,3,3,4,3.0,4,,1981,44,M,married,2,technical degree,1,22.0,22,11,15
3,4,No,4,research director,research & development,14307.5,171690.0,19,2,2,221.425,1771.4,37199.5,Full Time,,travel_rarely,2,No,1,3,3,3.0,2,,1976,49,F,married,4,medical,3,,20,5,6
4,5,No,4,sales executive,sales,12783.92,153407.04,12,5,1,197.84625,1582.77,33238.2,Full Time,No,non-travel,3,No,1,4,1,3.0,4,3.0,1977,48,F,divorced,3,technical degree,2,,19,2,8
5,6,No,4,manager,research & development,14311.67,171740.04,11,3,1,221.49,1771.92,37210.33,Full Time,No,non-travel,22,Yes,4,3,4,3.0,2,3.0,1975,50,F,nan,3,medical,3,,22,4,7
6,7,No,3,sales executive,sales,8339.32,100071.84,11,3,0,129.06125,1032.49,21682.23,Part Time,,non-travel,25,Yes,1,3,1,3.0,4,2.0,1964,61,F,nan,3,life sciences,7,28.0,21,7,9
7,8,No,2,sales executive,sales,4492.84,53914.11,25,3,0,69.5325,556.26,11681.39,Part Time,No,travel_rarely,1,No,2,3,3,4.0,3,3.0,1981,44,M,married,1,other,1,20.0,20,11,6
8,9,No,4,manager,general,13829.17,165950.0,16,2,1,214.0225,1712.18,35955.83,Full Time,No,non-travel,2,Yes,2,3,1,3.0,2,3.0,1982,43,F,married,5,other,7,22.0,18,11,8
9,10,No,5,research director,research & development,15943.72,191324.63999999998,17,2,1,246.7475,1973.98,41453.67,Full Time,No,travel_frequently,9,No,1,3,3,3.0,2,4.0,1982,43,M,nan,3,other,2,21.0,18,0,11
10,11,No,5,research director,research & development,16644.17,199730.0,22,3,2,257.58875,2060.71,43274.83,Full Time,No,non-travel,7,No,2,1,3,4.0,2,3.0,1982,43,F,nan,1,other,1,,21,5,10
11,12,No,4,manufacturing director,research & development,11168.33,134020.0,12,0,1,172.84375,1382.75,29037.67,Full Time,Yes,travel_rarely,23,No,4,3,2,not rated,1,3.0,1967,58,M,married,3,life sciences,4,33.0,19,15,9
12,13,No,3,research director,research & development,11005.0,132060.0,12,3,1,170.315,1362.52,28613.0,Full Time,No,non-travel,10,Yes,2,1,3,3.0,1,3.0,1985,40,F,married,3,medical,3,,18,1,11
13,14,Yes,5,research director,research & development,16287.5,195450.0,12,0,0,252.06875,2016.55,42347.5,Full Time,No,travel_rarely,12,No,2,3,3,3.0,4,3.0,1982,43,F,married,3,other,1,,22,15,8
14,15,No,5,research director,research & development,15943.72,191324.63999999998,11,3,0,246.7475,1973.98,41453.67,Full Time,No,non-travel,14,Yes,3,4,2,3.0,4,3.0,1968,57,M,single,4,medical,8,,24,2,15
15,16,No,5,manager,general,15034.17,180410.0,14,2,0,232.67125,1861.37,39088.83,Full Time,No,travel_rarely,2,No,3,3,3,3.0,4,3.0,1983,42,F,nan,4,other,0,,20,1,12
16,17,Yes,5,research director,research & development,16038.33,192460.0,12,2,0,248.2125,1985.7,41699.67,Full Time,Yes,travel_rarely,2,No,4,3,2,3.0,4,3.0,1965,60,M,single,4,other,7,40.0,31,13,8
17,18,No,4,manager,general,12783.92,153407.04,23,2,0,197.84625,1582.77,33238.2,Full Time,,travel_rarely,2,No,3,3,1,4.0,1,3.0,1977,48,F,nan,3,other,8,28.0,26,15,9
18,19,No,2,research scientist,research & development,4492.84,53914.08,11,2,0,69.5325,556.26,11681.39,Full Time,,non-travel,13,No,2,4,1,3.0,4,3.0,1988,37,M,married,5,life sciences,1,,16,1,10
19,20,No,3,manufacturing director,research & development,8339.32,100071.84,13,2,2,129.06125,1032.49,21682.23,Full Time,,travel_rarely,15,Yes,1,2,3,3.0,4,,1983,42,F,nan,3,life sciences,1,18.0,18,14,12
