,age,attrition,businesstravel,dailyrate,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework,department
0,52,No,non-travel,2015.72,6,3,other,1,1,M,251.96,3,5,research director,3,unknown,16280.83,42330.17,7,No,13,3.0,3,Full Time,0,,5,3.0,20,15,15,1972,195370.0,Yes,research & development
1,53,No,non-travel,2063.39,1,4,life sciences,2,3,M,257.92,2,5,manager,3,unknown,16665.83,43331.17,0,,14,3.0,1,Full Time,1,34.0,5,3.0,33,11,9,1971,199990.0,Yes,general
2,43,No,travel_rarely,1984.25,4,2,technical degree,3,3,M,248.03,3,5,manager,4,married,16026.67,41669.33,1,No,11,3.0,4,Full Time,0,22.0,3,,22,11,15,1981,192320.0,Yes,research & development
3,48,No,travel_rarely,1771.4,2,4,medical,4,1,F,221.42,3,4,research director,3,married,14307.5,37199.5,3,,19,3.0,2,Full Time,2,,2,,20,5,6,1976,171690.0,No,research & development
4,47,No,non-travel,1582.77,3,3,technical degree,5,1,F,197.85,4,4,sales executive,1,divorced,12783.92,33238.2,2,No,12,3.0,4,Full Time,1,,5,3.0,19,2,8,1977,153407.04,No,sales
5,49,No,non-travel,1771.92,22,3,medical,6,4,F,221.49,3,4,manager,4,unknown,14311.67,37210.33,3,No,11,3.0,2,Full Time,1,,3,3.0,22,4,7,1975,171740.04,Yes,research & development
6,60,No,non-travel,1032.49,25,3,life sciences,7,1,F,129.06,3,3,sales executive,1,unknown,8339.32,21682.23,7,,11,3.0,4,Part Time,0,28.0,3,2.0,21,7,9,1964,100071.84,Yes,sales
7,43,No,travel_rarely,556.26,1,1,other,8,2,M,69.53,3,2,sales executive,3,married,4492.84,11681.39,1,No,25,4.0,3,Part Time,0,20.0,3,3.0,20,11,6,1981,53914.11,No,sales
8,42,No,non-travel,1712.18,2,5,other,9,2,F,214.02,3,4,manager,1,married,13829.17,35955.83,7,No,16,3.0,2,Full Time,1,22.0,2,3.0,18,11,8,1982,165950.0,Yes,general
9,42,No,travel_frequently,1973.98,9,3,other,10,1,M,246.75,3,5,research director,3,unknown,15943.72,41453.67,2,No,17,3.0,2,Full Time,1,21.0,2,4.0,18,0,11,1982,191324.64,No,research & development
